"","cell_ID","cell_types"
"c_1_53_349","c_1_53_349","Acinar.1"
"c_1_53_375","c_1_53_375","Acinar.1"
"c_1_53_434","c_1_53_434","Acinar.1"
"c_1_53_482","c_1_53_482","Acinar.1"
"c_1_53_541","c_1_53_541","Acinar.2"
"c_1_53_66","c_1_53_66","Acinar.1"
"c_1_53_692","c_1_53_692","Acinar.1"
"c_1_53_930","c_1_53_930","Quiescent stellate"
"c_1_54_1037","c_1_54_1037","Acinar.1"
"c_1_54_1116","c_1_54_1116","Ductal"
"c_1_54_1189","c_1_54_1189","Acinar.1"
"c_1_54_1233","c_1_54_1233","Acinar.1"
"c_1_54_1339","c_1_54_1339","Acinar.1"
"c_1_54_1390","c_1_54_1390","Ductal"
"c_1_54_1432","c_1_54_1432","Acinar.1"
"c_1_54_1447","c_1_54_1447","Acinar.1"
"c_1_54_153","c_1_54_153","Ductal"
"c_1_54_1583","c_1_54_1583","Ductal"
"c_1_54_1610","c_1_54_1610","Acinar.1"
"c_1_54_1665","c_1_54_1665","Ductal"
"c_1_54_1769","c_1_54_1769","Acinar.2"
"c_1_54_185","c_1_54_185","Ductal"
"c_1_54_1871","c_1_54_1871","Acinar.2"
"c_1_54_189","c_1_54_189","Acinar.1"
"c_1_54_2005","c_1_54_2005","Acinar.1"
"c_1_54_203","c_1_54_203","Acinar.1"
"c_1_54_2039","c_1_54_2039","Acinar.1"
"c_1_54_2042","c_1_54_2042","Acinar.1"
"c_1_54_2049","c_1_54_2049","Acinar.2"
"c_1_54_2128","c_1_54_2128","Acinar.2"
"c_1_54_214","c_1_54_214","Acinar.1"
"c_1_54_2226","c_1_54_2226","Acinar.1"
"c_1_54_2243","c_1_54_2243","Ductal"
"c_1_54_2248","c_1_54_2248","Ductal"
"c_1_54_2375","c_1_54_2375","Acinar.1"
"c_1_54_2484","c_1_54_2484","Acinar.1"
"c_1_54_2491","c_1_54_2491","Acinar.1"
"c_1_54_2509","c_1_54_2509","Acinar.1"
"c_1_54_3","c_1_54_3","Acinar.2"
"c_1_54_303","c_1_54_303","Acinar.1"
"c_1_54_308","c_1_54_308","Acinar.1"
"c_1_54_343","c_1_54_343","Quiescent stellate"
"c_1_54_452","c_1_54_452","Acinar.1"
"c_1_54_539","c_1_54_539","Alpha cells"
"c_1_54_573","c_1_54_573","Acinar.2"
"c_1_54_629","c_1_54_629","Acinar.2"
"c_1_54_68","c_1_54_68","Acinar.1"
"c_1_54_715","c_1_54_715","Quiescent stellate"
"c_1_54_778","c_1_54_778","Acinar.1"
"c_1_54_784","c_1_54_784","Acinar.1"
"c_1_54_873","c_1_54_873","Quiescent stellate"
"c_1_54_88","c_1_54_88","Ductal"
"c_1_54_938","c_1_54_938","Acinar.1"
"c_1_54_991","c_1_54_991","Acinar.1"
"c_1_54_993","c_1_54_993","Acinar.1"
"c_1_55_1000","c_1_55_1000","Acinar.1"
"c_1_55_1075","c_1_55_1075","Acinar.1"
"c_1_55_1188","c_1_55_1188","Acinar.1"
"c_1_55_1191","c_1_55_1191","Acinar.1"
"c_1_55_1193","c_1_55_1193","Acinar.1"
"c_1_55_1314","c_1_55_1314","Acinar.1"
"c_1_55_1456","c_1_55_1456","Acinar.1"
"c_1_55_1464","c_1_55_1464","Acinar.1"
"c_1_55_1466","c_1_55_1466","Acinar.1"
"c_1_55_1481","c_1_55_1481","Acinar.2"
"c_1_55_1499","c_1_55_1499","Acinar.2"
"c_1_55_1597","c_1_55_1597","Acinar.1"
"c_1_55_1616","c_1_55_1616","Ductal"
"c_1_55_1690","c_1_55_1690","Ductal"
"c_1_55_1705","c_1_55_1705","Acinar.1"
"c_1_55_1723","c_1_55_1723","Acinar.1"
"c_1_55_1765","c_1_55_1765","Ductal"
"c_1_55_1789","c_1_55_1789","Acinar.1"
"c_1_55_1800","c_1_55_1800","Acinar.1"
"c_1_55_1843","c_1_55_1843","Acinar.1"
"c_1_55_1895","c_1_55_1895","Ductal"
"c_1_55_2023","c_1_55_2023","Acinar.1"
"c_1_55_2079","c_1_55_2079","Acinar.1"
"c_1_55_2189","c_1_55_2189","Beta cells"
"c_1_55_2259","c_1_55_2259","Alpha cells"
"c_1_55_2271","c_1_55_2271","Alpha cells"
"c_1_55_2297","c_1_55_2297","Acinar.1"
"c_1_55_2398","c_1_55_2398","Quiescent stellate"
"c_1_55_2411","c_1_55_2411","Acinar.1"
"c_1_55_2441","c_1_55_2441","Acinar.1"
"c_1_55_2478","c_1_55_2478","Acinar.1"
"c_1_55_2482","c_1_55_2482","Alpha cells"
"c_1_55_250","c_1_55_250","Acinar.1"
"c_1_55_2588","c_1_55_2588","Acinar.1"
"c_1_55_2595","c_1_55_2595","Ductal"
"c_1_55_2664","c_1_55_2664","Acinar.2"
"c_1_55_2675","c_1_55_2675","Acinar.1"
"c_1_55_2695","c_1_55_2695","Acinar.1"
"c_1_55_2709","c_1_55_2709","Ductal"
"c_1_55_2753","c_1_55_2753","Acinar.1"
"c_1_55_2758","c_1_55_2758","Acinar.1"
"c_1_55_2820","c_1_55_2820","Acinar.1"
"c_1_55_336","c_1_55_336","Acinar.1"
"c_1_55_409","c_1_55_409","Ductal"
"c_1_55_448","c_1_55_448","Acinar.1"
