"","cell_ID","cell_types"
"c_1_60_73","c_1_60_73","Acinar.1"
"c_1_60_77","c_1_60_77","Acinar.1"
"c_1_60_832","c_1_60_832","Acinar.1"
"c_1_60_837","c_1_60_837","Acinar.1"
"c_1_60_866","c_1_60_866","Acinar.1"
"c_1_60_912","c_1_60_912","Acinar.1"
"c_1_60_914","c_1_60_914","Acinar.1"
"c_1_60_916","c_1_60_916","Acinar.1"
"c_1_60_928","c_1_60_928","Acinar.1"
"c_1_60_929","c_1_60_929","Ductal"
"c_1_60_94","c_1_60_94","Acinar.1"
"c_1_61_1027","c_1_61_1027","Acinar.1"
"c_1_61_1033","c_1_61_1033","Acinar.1"
"c_1_61_1043","c_1_61_1043","Acinar.1"
"c_1_61_111","c_1_61_111","Beta cells"
"c_1_61_1131","c_1_61_1131","Acinar.1"
"c_1_61_1133","c_1_61_1133","Macrophage"
"c_1_61_1160","c_1_61_1160","Acinar.1"
"c_1_61_1169","c_1_61_1169","Acinar.1"
"c_1_61_1182","c_1_61_1182","Acinar.1"
"c_1_61_1230","c_1_61_1230","Acinar.1"
"c_1_61_125","c_1_61_125","Alpha cells"
"c_1_61_1295","c_1_61_1295","Acinar.1"
"c_1_61_1323","c_1_61_1323","Acinar.1"
"c_1_61_1334","c_1_61_1334","Acinar.1"
"c_1_61_1348","c_1_61_1348","Acinar.1"
"c_1_61_1387","c_1_61_1387","Acinar.1"
"c_1_61_1391","c_1_61_1391","Acinar.2"
"c_1_61_1392","c_1_61_1392","Acinar.1"
"c_1_61_1401","c_1_61_1401","Acinar.1"
"c_1_61_1424","c_1_61_1424","Acinar.1"
"c_1_61_1430","c_1_61_1430","Acinar.1"
"c_1_61_1435","c_1_61_1435","Acinar.1"
"c_1_61_1446","c_1_61_1446","Acinar.1"
"c_1_61_1452","c_1_61_1452","Acinar.1"
"c_1_61_1457","c_1_61_1457","Acinar.1"
"c_1_61_1461","c_1_61_1461","Quiescent stellate"
"c_1_61_1465","c_1_61_1465","Acinar.1"
"c_1_61_1470","c_1_61_1470","Acinar.1"
"c_1_61_1484","c_1_61_1484","Macrophage"
"c_1_61_1490","c_1_61_1490","Acinar.1"
"c_1_61_1494","c_1_61_1494","Ductal"
"c_1_61_1526","c_1_61_1526","Macrophage"
"c_1_61_1557","c_1_61_1557","Acinar.1"
"c_1_61_1560","c_1_61_1560","Acinar.1"
"c_1_61_1616","c_1_61_1616","Acinar.1"
"c_1_61_1674","c_1_61_1674","Acinar.1"
"c_1_61_1686","c_1_61_1686","Acinar.1"
"c_1_61_1697","c_1_61_1697","Acinar.1"
"c_1_61_1704","c_1_61_1704","Acinar.1"
"c_1_61_1711","c_1_61_1711","Ductal"
"c_1_61_1748","c_1_61_1748","Acinar.1"
"c_1_61_1767","c_1_61_1767","Acinar.1"
"c_1_61_1794","c_1_61_1794","Acinar.1"
"c_1_61_1822","c_1_61_1822","Ductal"
"c_1_61_1829","c_1_61_1829","Delta cells"
"c_1_61_1830","c_1_61_1830","Quiescent stellate"
"c_1_61_1861","c_1_61_1861","Acinar.1"
"c_1_61_1880","c_1_61_1880","Acinar.1"
"c_1_61_19","c_1_61_19","Acinar.1"
"c_1_61_1973","c_1_61_1973","Acinar.2"
"c_1_61_2002","c_1_61_2002","Quiescent stellate"
"c_1_61_2056","c_1_61_2056","Acinar.1"
"c_1_61_2063","c_1_61_2063","Acinar.1"
"c_1_61_2094","c_1_61_2094","Acinar.1"
"c_1_61_215","c_1_61_215","Acinar.1"
"c_1_61_2160","c_1_61_2160","Beta cells"
"c_1_61_2196","c_1_61_2196","Acinar.1"
"c_1_61_2209","c_1_61_2209","Beta cells"
"c_1_61_222","c_1_61_222","Acinar.1"
"c_1_61_2225","c_1_61_2225","Acinar.1"
"c_1_61_2226","c_1_61_2226","Acinar.1"
"c_1_61_2233","c_1_61_2233","Ductal"
"c_1_61_224","c_1_61_224","Acinar.1"
"c_1_61_2245","c_1_61_2245","Acinar.1"
"c_1_61_2250","c_1_61_2250","Acinar.1"
"c_1_61_2262","c_1_61_2262","Acinar.1"
"c_1_61_227","c_1_61_227","Acinar.1"
"c_1_61_2312","c_1_61_2312","Acinar.1"
"c_1_61_2322","c_1_61_2322","Acinar.1"
"c_1_61_2338","c_1_61_2338","Ductal"
"c_1_61_2376","c_1_61_2376","Acinar.1"
"c_1_61_2382","c_1_61_2382","Acinar.1"
"c_1_61_2420","c_1_61_2420","Acinar.1"
"c_1_61_2463","c_1_61_2463","Acinar.1"
"c_1_61_2478","c_1_61_2478","Ductal"
"c_1_61_2485","c_1_61_2485","Acinar.1"
"c_1_61_2545","c_1_61_2545","Ductal"
"c_1_61_257","c_1_61_257","Acinar.1"
"c_1_61_2579","c_1_61_2579","Ductal"
"c_1_61_2581","c_1_61_2581","Acinar.1"
"c_1_61_2592","c_1_61_2592","Ductal"
"c_1_61_2593","c_1_61_2593","Acinar.1"
"c_1_61_2611","c_1_61_2611","Ductal"
"c_1_61_2628","c_1_61_2628","Acinar.2"
"c_1_61_2641","c_1_61_2641","Acinar.1"
"c_1_61_270","c_1_61_270","Macrophage"
"c_1_61_274","c_1_61_274","Acinar.1"
"c_1_61_286","c_1_61_286","Quiescent stellate"
"c_1_61_293","c_1_61_293","Acinar.1"
"c_1_61_3","c_1_61_3","Ductal"
"c_1_61_323","c_1_61_323","Acinar.1"
"c_1_61_328","c_1_61_328","Acinar.1"
"c_1_61_329","c_1_61_329","Acinar.1"
"c_1_61_344","c_1_61_344","Acinar.1"
"c_1_61_35","c_1_61_35","Acinar.1"
"c_1_61_351","c_1_61_351","Acinar.1"
"c_1_61_356","c_1_61_356","Ductal"
"c_1_61_502","c_1_61_502","Acinar.1"
"c_1_61_536","c_1_61_536","Acinar.2"
"c_1_61_584","c_1_61_584","Ductal"
"c_1_61_601","c_1_61_601","Ductal"
"c_1_61_639","c_1_61_639","Ductal"
"c_1_61_649","c_1_61_649","Acinar.1"
"c_1_61_701","c_1_61_701","Acinar.1"
"c_1_61_72","c_1_61_72","Acinar.1"
"c_1_61_778","c_1_61_778","Acinar.1"
"c_1_61_788","c_1_61_788","Acinar.1"
"c_1_61_823","c_1_61_823","Acinar.1"
"c_1_61_853","c_1_61_853","Ductal"
"c_1_61_864","c_1_61_864","Acinar.1"
"c_1_61_920","c_1_61_920","Acinar.1"
"c_1_61_921","c_1_61_921","Acinar.1"
"c_1_61_927","c_1_61_927","Quiescent stellate"
"c_1_61_990","c_1_61_990","Acinar.1"
"c_1_62_1000","c_1_62_1000","Alpha cells"
"c_1_62_1071","c_1_62_1071","Quiescent stellate"
"c_1_62_111","c_1_62_111","Acinar.1"
"c_1_62_1120","c_1_62_1120","Acinar.1"
"c_1_62_1145","c_1_62_1145","Acinar.1"
"c_1_62_117","c_1_62_117","Acinar.1"
"c_1_62_1187","c_1_62_1187","Acinar.1"
"c_1_62_1218","c_1_62_1218","Acinar.1"
"c_1_62_1239","c_1_62_1239","Acinar.1"
"c_1_62_1266","c_1_62_1266","Acinar.1"
"c_1_62_1321","c_1_62_1321","Quiescent stellate"
"c_1_62_1347","c_1_62_1347","Acinar.1"
"c_1_62_1359","c_1_62_1359","Acinar.1"
"c_1_62_1365","c_1_62_1365","Acinar.1"
"c_1_62_1464","c_1_62_1464","Ductal"
"c_1_62_1573","c_1_62_1573","Acinar.1"
"c_1_62_159","c_1_62_159","Acinar.1"
"c_1_62_161","c_1_62_161","Acinar.2"
"c_1_62_1654","c_1_62_1654","Acinar.1"
"c_1_62_1677","c_1_62_1677","Acinar.1"
"c_1_62_1688","c_1_62_1688","Acinar.1"
"c_1_62_171","c_1_62_171","Acinar.1"
"c_1_62_1733","c_1_62_1733","Acinar.1"
"c_1_62_1738","c_1_62_1738","Acinar.1"
"c_1_62_1769","c_1_62_1769","Acinar.1"
"c_1_62_1780","c_1_62_1780","Acinar.1"
"c_1_62_1791","c_1_62_1791","Acinar.1"
"c_1_62_1824","c_1_62_1824","Acinar.1"
"c_1_62_1861","c_1_62_1861","Acinar.1"
"c_1_62_1881","c_1_62_1881","Acinar.1"
"c_1_62_1885","c_1_62_1885","Acinar.1"
"c_1_62_1888","c_1_62_1888","Acinar.1"
"c_1_62_189","c_1_62_189","Acinar.2"
"c_1_62_1927","c_1_62_1927","Acinar.1"
"c_1_62_1971","c_1_62_1971","Acinar.1"
"c_1_62_1981","c_1_62_1981","Acinar.1"
"c_1_62_1986","c_1_62_1986","Acinar.1"
"c_1_62_2006","c_1_62_2006","Acinar.1"
"c_1_62_2009","c_1_62_2009","Acinar.1"
"c_1_62_2032","c_1_62_2032","Acinar.1"
"c_1_62_209","c_1_62_209","Ductal"
"c_1_62_2104","c_1_62_2104","Acinar.1"
"c_1_62_2115","c_1_62_2115","Acinar.1"
"c_1_62_2123","c_1_62_2123","Acinar.1"
"c_1_62_2143","c_1_62_2143","Acinar.1"
"c_1_62_2169","c_1_62_2169","Acinar.1"
"c_1_62_2188","c_1_62_2188","Acinar.1"
"c_1_62_2191","c_1_62_2191","Acinar.1"
"c_1_62_2218","c_1_62_2218","Acinar.1"
"c_1_62_2220","c_1_62_2220","Acinar.1"
"c_1_62_2228","c_1_62_2228","Acinar.1"
"c_1_62_2241","c_1_62_2241","Acinar.1"
"c_1_62_2242","c_1_62_2242","Ductal"
"c_1_62_2260","c_1_62_2260","Acinar.1"
"c_1_62_2312","c_1_62_2312","Acinar.1"
"c_1_62_2324","c_1_62_2324","Acinar.1"
"c_1_62_2339","c_1_62_2339","Acinar.1"
"c_1_62_237","c_1_62_237","Acinar.1"
"c_1_62_249","c_1_62_249","Acinar.1"
"c_1_62_263","c_1_62_263","Acinar.1"
"c_1_62_281","c_1_62_281","Acinar.1"
"c_1_62_286","c_1_62_286","Acinar.1"
"c_1_62_29","c_1_62_29","Ductal"
"c_1_62_331","c_1_62_331","Acinar.1"
"c_1_62_346","c_1_62_346","Acinar.1"
"c_1_62_349","c_1_62_349","Ductal"
"c_1_62_372","c_1_62_372","Acinar.1"
"c_1_62_426","c_1_62_426","Acinar.1"
"c_1_62_429","c_1_62_429","Acinar.1"
"c_1_62_460","c_1_62_460","Acinar.1"
"c_1_62_479","c_1_62_479","Acinar.2"
"c_1_62_5","c_1_62_5","Acinar.1"
"c_1_62_50","c_1_62_50","Acinar.1"
"c_1_62_509","c_1_62_509","Acinar.1"
"c_1_62_52","c_1_62_52","Acinar.1"
"c_1_62_528","c_1_62_528","Acinar.2"
"c_1_62_548","c_1_62_548","Acinar.2"
"c_1_62_572","c_1_62_572","Acinar.2"
"c_1_62_583","c_1_62_583","Macrophage"
"c_1_62_595","c_1_62_595","Acinar.1"
"c_1_62_62","c_1_62_62","Acinar.1"
"c_1_62_634","c_1_62_634","Acinar.2"
"c_1_62_658","c_1_62_658","Acinar.1"
"c_1_62_685","c_1_62_685","Acinar.2"
"c_1_62_719","c_1_62_719","Acinar.1"
"c_1_62_728","c_1_62_728","Beta cells"
"c_1_62_737","c_1_62_737","Acinar.1"
"c_1_62_772","c_1_62_772","Acinar.1"
"c_1_62_829","c_1_62_829","Acinar.1"
"c_1_62_874","c_1_62_874","Acinar.1"
"c_1_62_881","c_1_62_881","Acinar.1"
"c_1_62_883","c_1_62_883","Acinar.2"
"c_1_62_891","c_1_62_891","Acinar.1"
"c_1_62_897","c_1_62_897","Acinar.1"
"c_1_62_898","c_1_62_898","Acinar.1"
"c_1_62_931","c_1_62_931","Acinar.1"
"c_1_62_952","c_1_62_952","Beta cells"
"c_1_62_967","c_1_62_967","Acinar.1"
"c_1_62_973","c_1_62_973","Acinar.1"
"c_1_62_977","c_1_62_977","Acinar.1"
"c_1_63_1013","c_1_63_1013","Acinar.1"
"c_1_63_1032","c_1_63_1032","Acinar.1"
"c_1_63_1069","c_1_63_1069","Acinar.1"
"c_1_63_1101","c_1_63_1101","Acinar.1"
"c_1_63_1109","c_1_63_1109","Acinar.1"
"c_1_63_1115","c_1_63_1115","Acinar.1"
"c_1_63_1126","c_1_63_1126","Acinar.1"
"c_1_63_1142","c_1_63_1142","Acinar.1"
"c_1_63_117","c_1_63_117","Acinar.1"
"c_1_63_1171","c_1_63_1171","Beta cells"
"c_1_63_1181","c_1_63_1181","Acinar.1"
"c_1_63_1185","c_1_63_1185","Acinar.1"
"c_1_63_1314","c_1_63_1314","Acinar.1"
"c_1_63_1332","c_1_63_1332","Acinar.1"
"c_1_63_1334","c_1_63_1334","Alpha cells"
"c_1_63_1341","c_1_63_1341","Acinar.2"
"c_1_63_1391","c_1_63_1391","Acinar.1"
"c_1_63_1430","c_1_63_1430","Beta cells"
"c_1_63_1458","c_1_63_1458","Acinar.1"
"c_1_63_1466","c_1_63_1466","Beta cells"
"c_1_63_1482","c_1_63_1482","Acinar.1"
"c_1_63_1508","c_1_63_1508","Acinar.1"
"c_1_63_1520","c_1_63_1520","Acinar.1"
"c_1_63_1531","c_1_63_1531","Macrophage"
"c_1_63_1533","c_1_63_1533","Acinar.1"
"c_1_63_154","c_1_63_154","Acinar.2"
"c_1_63_1556","c_1_63_1556","Acinar.1"
"c_1_63_1572","c_1_63_1572","Acinar.1"
"c_1_63_1574","c_1_63_1574","Acinar.1"
"c_1_63_1577","c_1_63_1577","Acinar.1"
"c_1_63_1596","c_1_63_1596","Acinar.2"
"c_1_63_1634","c_1_63_1634","Alpha cells"
"c_1_63_168","c_1_63_168","Acinar.1"
"c_1_63_1682","c_1_63_1682","Acinar.1"
"c_1_63_17","c_1_63_17","Acinar.1"
"c_1_63_1711","c_1_63_1711","Acinar.1"
"c_1_63_1717","c_1_63_1717","Acinar.1"
"c_1_63_174","c_1_63_174","Acinar.1"
"c_1_63_1741","c_1_63_1741","Acinar.1"
"c_1_63_1766","c_1_63_1766","Acinar.1"
"c_1_63_1809","c_1_63_1809","Acinar.1"
"c_1_63_1848","c_1_63_1848","Acinar.1"
"c_1_63_1872","c_1_63_1872","Acinar.1"
"c_1_63_1891","c_1_63_1891","Ductal"
"c_1_63_1898","c_1_63_1898","Ductal"
"c_1_63_1909","c_1_63_1909","Acinar.1"
"c_1_63_1942","c_1_63_1942","Acinar.1"
"c_1_63_1960","c_1_63_1960","Acinar.1"
"c_1_63_2004","c_1_63_2004","Acinar.1"
"c_1_63_2010","c_1_63_2010","Acinar.1"
"c_1_63_2027","c_1_63_2027","Acinar.1"
"c_1_63_2056","c_1_63_2056","Acinar.1"
"c_1_63_2067","c_1_63_2067","Acinar.2"
"c_1_63_2082","c_1_63_2082","Ductal"
"c_1_63_2091","c_1_63_2091","Acinar.1"
"c_1_63_211","c_1_63_211","Acinar.1"
"c_1_63_2110","c_1_63_2110","Acinar.1"
"c_1_63_2130","c_1_63_2130","Acinar.1"
"c_1_63_2148","c_1_63_2148","Acinar.1"
"c_1_63_2207","c_1_63_2207","Acinar.2"
"c_1_63_2219","c_1_63_2219","Acinar.1"
"c_1_63_223","c_1_63_223","Acinar.1"
"c_1_63_2272","c_1_63_2272","Acinar.1"
"c_1_63_2277","c_1_63_2277","Acinar.1"
"c_1_63_2282","c_1_63_2282","Acinar.2"
"c_1_63_2284","c_1_63_2284","Acinar.1"
"c_1_63_2292","c_1_63_2292","Acinar.1"
"c_1_63_2317","c_1_63_2317","Ductal"
"c_1_63_2349","c_1_63_2349","Acinar.1"
"c_1_63_2361","c_1_63_2361","Ductal"
"c_1_63_2373","c_1_63_2373","Acinar.1"
"c_1_63_2400","c_1_63_2400","Beta cells"
"c_1_63_2407","c_1_63_2407","Acinar.1"
"c_1_63_2409","c_1_63_2409","Acinar.1"
"c_1_63_2428","c_1_63_2428","Acinar.1"
"c_1_63_249","c_1_63_249","Ductal"
"c_1_63_289","c_1_63_289","Acinar.1"
"c_1_63_296","c_1_63_296","Acinar.2"
"c_1_63_31","c_1_63_31","Acinar.1"
"c_1_63_314","c_1_63_314","Acinar.2"
"c_1_63_316","c_1_63_316","Acinar.1"
"c_1_63_322","c_1_63_322","Ductal"
"c_1_63_333","c_1_63_333","Ductal"
"c_1_63_344","c_1_63_344","Acinar.1"
"c_1_63_382","c_1_63_382","Acinar.1"
"c_1_63_405","c_1_63_405","Acinar.1"
"c_1_63_456","c_1_63_456","Beta cells"
"c_1_63_467","c_1_63_467","Beta cells"
"c_1_63_497","c_1_63_497","Delta cells"
"c_1_63_523","c_1_63_523","Acinar.1"
"c_1_63_560","c_1_63_560","Acinar.1"
"c_1_63_566","c_1_63_566","Acinar.1"
"c_1_63_607","c_1_63_607","Acinar.1"
"c_1_63_613","c_1_63_613","Acinar.1"
"c_1_63_625","c_1_63_625","Acinar.1"
"c_1_63_63","c_1_63_63","Acinar.1"
"c_1_63_634","c_1_63_634","Acinar.1"
"c_1_63_642","c_1_63_642","Acinar.1"
"c_1_63_660","c_1_63_660","Acinar.1"
"c_1_63_688","c_1_63_688","Ductal"
"c_1_63_705","c_1_63_705","Acinar.1"
"c_1_63_718","c_1_63_718","Acinar.1"
"c_1_63_749","c_1_63_749","Acinar.1"
"c_1_63_788","c_1_63_788","Acinar.1"
"c_1_63_854","c_1_63_854","Acinar.1"
"c_1_63_869","c_1_63_869","Acinar.1"
"c_1_63_930","c_1_63_930","Acinar.1"
"c_1_63_954","c_1_63_954","Acinar.1"
"c_1_63_960","c_1_63_960","Acinar.1"
"c_1_63_999","c_1_63_999","Alpha cells"
"c_1_64_101","c_1_64_101","Ductal"
"c_1_64_103","c_1_64_103","Acinar.1"
"c_1_64_1051","c_1_64_1051","Acinar.1"
"c_1_64_1080","c_1_64_1080","Acinar.1"
"c_1_64_1084","c_1_64_1084","Acinar.1"
"c_1_64_1099","c_1_64_1099","Acinar.1"
"c_1_64_1180","c_1_64_1180","Ductal"
"c_1_64_1191","c_1_64_1191","Acinar.1"
"c_1_64_1195","c_1_64_1195","Acinar.1"
"c_1_64_1209","c_1_64_1209","Acinar.1"
"c_1_64_1235","c_1_64_1235","Acinar.1"
"c_1_64_1239","c_1_64_1239","Acinar.1"
"c_1_64_1268","c_1_64_1268","Acinar.1"
"c_1_64_1270","c_1_64_1270","Acinar.1"
"c_1_64_1293","c_1_64_1293","Acinar.1"
"c_1_64_1304","c_1_64_1304","Acinar.1"
"c_1_64_1331","c_1_64_1331","Acinar.1"
"c_1_64_1332","c_1_64_1332","Acinar.1"
"c_1_64_1333","c_1_64_1333","Acinar.2"
"c_1_64_1352","c_1_64_1352","Acinar.1"
"c_1_64_1386","c_1_64_1386","Acinar.2"
"c_1_64_1411","c_1_64_1411","Acinar.1"
"c_1_64_1423","c_1_64_1423","Ductal"
"c_1_64_1433","c_1_64_1433","Acinar.1"
"c_1_64_1434","c_1_64_1434","Acinar.1"
"c_1_64_1443","c_1_64_1443","Acinar.1"
"c_1_64_1446","c_1_64_1446","Ductal"
"c_1_64_1449","c_1_64_1449","Acinar.1"
"c_1_64_1458","c_1_64_1458","Acinar.1"
"c_1_64_1463","c_1_64_1463","Ductal"
"c_1_64_1467","c_1_64_1467","Acinar.1"
"c_1_64_1472","c_1_64_1472","Acinar.1"
"c_1_64_1500","c_1_64_1500","Acinar.1"
"c_1_64_153","c_1_64_153","Acinar.1"
"c_1_64_1530","c_1_64_1530","Acinar.1"
"c_1_64_1536","c_1_64_1536","Acinar.1"
"c_1_64_1551","c_1_64_1551","Acinar.1"
"c_1_64_1585","c_1_64_1585","Acinar.1"
"c_1_64_1593","c_1_64_1593","Acinar.1"
"c_1_64_1594","c_1_64_1594","Acinar.1"
"c_1_64_1595","c_1_64_1595","Acinar.1"
"c_1_64_1630","c_1_64_1630","Acinar.1"
"c_1_64_1637","c_1_64_1637","Acinar.1"
"c_1_64_1670","c_1_64_1670","Acinar.1"
"c_1_64_1696","c_1_64_1696","Acinar.1"
"c_1_64_1701","c_1_64_1701","Acinar.1"
"c_1_64_1717","c_1_64_1717","Ductal"
"c_1_64_1737","c_1_64_1737","Acinar.1"
"c_1_64_1753","c_1_64_1753","Acinar.1"
"c_1_64_1790","c_1_64_1790","Acinar.1"
"c_1_64_1815","c_1_64_1815","Acinar.1"
"c_1_64_1840","c_1_64_1840","Acinar.2"
"c_1_64_1843","c_1_64_1843","Acinar.1"
"c_1_64_1860","c_1_64_1860","Acinar.1"
"c_1_64_189","c_1_64_189","Acinar.1"
"c_1_64_1958","c_1_64_1958","Acinar.1"
"c_1_64_1961","c_1_64_1961","Acinar.1"
"c_1_64_1972","c_1_64_1972","Acinar.1"
"c_1_64_1991","c_1_64_1991","Quiescent stellate"
"c_1_64_2007","c_1_64_2007","Acinar.1"
"c_1_64_2010","c_1_64_2010","Ductal"
"c_1_64_2029","c_1_64_2029","Acinar.1"
"c_1_64_2038","c_1_64_2038","Acinar.1"
"c_1_64_2059","c_1_64_2059","Ductal"
"c_1_64_2136","c_1_64_2136","Acinar.1"
"c_1_64_2160","c_1_64_2160","Acinar.1"
"c_1_64_2163","c_1_64_2163","Acinar.1"
"c_1_64_2166","c_1_64_2166","Macrophage"
"c_1_64_2181","c_1_64_2181","Ductal"
"c_1_64_2194","c_1_64_2194","Acinar.1"
"c_1_64_2196","c_1_64_2196","Acinar.1"
"c_1_64_2202","c_1_64_2202","Acinar.1"
"c_1_64_2228","c_1_64_2228","Acinar.1"
"c_1_64_2329","c_1_64_2329","Ductal"
"c_1_64_2337","c_1_64_2337","Acinar.1"
"c_1_64_2341","c_1_64_2341","Acinar.1"
"c_1_64_2342","c_1_64_2342","Acinar.1"
"c_1_64_2348","c_1_64_2348","Acinar.2"
"c_1_64_2452","c_1_64_2452","Acinar.1"
"c_1_64_2467","c_1_64_2467","Acinar.1"
"c_1_64_248","c_1_64_248","Acinar.1"
"c_1_64_252","c_1_64_252","Acinar.1"
"c_1_64_2527","c_1_64_2527","Acinar.1"
"c_1_64_2559","c_1_64_2559","Acinar.1"
"c_1_64_2596","c_1_64_2596","Acinar.1"
"c_1_64_2633","c_1_64_2633","Quiescent stellate"
"c_1_64_2636","c_1_64_2636","Ductal"
"c_1_64_2681","c_1_64_2681","Acinar.1"
"c_1_64_2691","c_1_64_2691","Acinar.1"
"c_1_64_2735","c_1_64_2735","Ductal"
"c_1_64_2778","c_1_64_2778","Acinar.1"
"c_1_64_28","c_1_64_28","Macrophage"
"c_1_64_2801","c_1_64_2801","Acinar.1"
"c_1_64_2815","c_1_64_2815","Acinar.1"
"c_1_64_2829","c_1_64_2829","Acinar.1"
"c_1_64_2847","c_1_64_2847","Acinar.1"
"c_1_64_285","c_1_64_285","Acinar.1"
"c_1_64_304","c_1_64_304","Acinar.1"
"c_1_64_309","c_1_64_309","Acinar.2"
"c_1_64_322","c_1_64_322","Acinar.1"
"c_1_64_336","c_1_64_336","Acinar.1"
"c_1_64_344","c_1_64_344","Acinar.1"
"c_1_64_347","c_1_64_347","Acinar.1"
"c_1_64_361","c_1_64_361","Acinar.1"
"c_1_64_369","c_1_64_369","Acinar.2"
"c_1_64_41","c_1_64_41","Acinar.1"
"c_1_64_419","c_1_64_419","Acinar.1"
"c_1_64_421","c_1_64_421","Acinar.1"
"c_1_64_427","c_1_64_427","Acinar.2"
"c_1_64_451","c_1_64_451","Ductal"
"c_1_64_482","c_1_64_482","Acinar.1"
"c_1_64_493","c_1_64_493","Ductal"
"c_1_64_520","c_1_64_520","Acinar.1"
"c_1_64_567","c_1_64_567","Acinar.1"
"c_1_64_578","c_1_64_578","Acinar.1"
"c_1_64_581","c_1_64_581","Ductal"
"c_1_64_591","c_1_64_591","Ductal"
"c_1_64_60","c_1_64_60","Acinar.1"
"c_1_64_61","c_1_64_61","Acinar.1"
"c_1_64_624","c_1_64_624","Acinar.1"
"c_1_64_628","c_1_64_628","Acinar.1"
"c_1_64_64","c_1_64_64","Acinar.1"
"c_1_64_687","c_1_64_687","Acinar.1"
"c_1_64_71","c_1_64_71","Ductal"
"c_1_64_719","c_1_64_719","Quiescent stellate"
"c_1_64_720","c_1_64_720","Acinar.2"
"c_1_64_752","c_1_64_752","Acinar.1"
"c_1_64_757","c_1_64_757","Acinar.2"
"c_1_64_79","c_1_64_79","Acinar.1"
"c_1_64_803","c_1_64_803","Ductal"
"c_1_64_822","c_1_64_822","Acinar.2"
"c_1_64_823","c_1_64_823","Ductal"
"c_1_64_825","c_1_64_825","Acinar.1"
"c_1_64_843","c_1_64_843","Acinar.1"
"c_1_64_947","c_1_64_947","Acinar.1"
"c_1_64_981","c_1_64_981","Acinar.1"
"c_1_65_10","c_1_65_10","Acinar.1"
"c_1_65_1012","c_1_65_1012","Acinar.1"
"c_1_65_1042","c_1_65_1042","Acinar.1"
"c_1_65_1047","c_1_65_1047","Ductal"
"c_1_65_1065","c_1_65_1065","Acinar.1"
"c_1_65_1089","c_1_65_1089","Ductal"
"c_1_65_1105","c_1_65_1105","Acinar.1"
"c_1_65_1109","c_1_65_1109","Acinar.1"
"c_1_65_1127","c_1_65_1127","Acinar.1"
"c_1_65_113","c_1_65_113","Acinar.1"
"c_1_65_1139","c_1_65_1139","Ductal"
"c_1_65_1140","c_1_65_1140","Acinar.1"
"c_1_65_1154","c_1_65_1154","Acinar.1"
"c_1_65_1160","c_1_65_1160","Acinar.1"
"c_1_65_1190","c_1_65_1190","Acinar.1"
"c_1_65_1197","c_1_65_1197","Acinar.1"
"c_1_65_124","c_1_65_124","Acinar.1"
"c_1_65_1242","c_1_65_1242","Acinar.1"
"c_1_65_1248","c_1_65_1248","Acinar.1"
"c_1_65_1263","c_1_65_1263","Acinar.1"
"c_1_65_1283","c_1_65_1283","Acinar.1"
"c_1_65_1309","c_1_65_1309","Acinar.1"
"c_1_65_131","c_1_65_131","Ductal"
"c_1_65_1312","c_1_65_1312","Acinar.1"
"c_1_65_1327","c_1_65_1327","Acinar.1"
"c_1_65_1347","c_1_65_1347","Acinar.1"
"c_1_65_1358","c_1_65_1358","Acinar.1"
"c_1_65_1360","c_1_65_1360","Acinar.1"
"c_1_65_1368","c_1_65_1368","Acinar.1"
"c_1_65_1373","c_1_65_1373","Acinar.1"
"c_1_65_140","c_1_65_140","Acinar.1"
"c_1_65_1402","c_1_65_1402","Acinar.1"
"c_1_65_1459","c_1_65_1459","Acinar.1"
"c_1_65_1463","c_1_65_1463","Acinar.2"
"c_1_65_1470","c_1_65_1470","Acinar.1"
"c_1_65_1471","c_1_65_1471","Acinar.1"
"c_1_65_1472","c_1_65_1472","Acinar.1"
"c_1_65_1477","c_1_65_1477","Acinar.1"
"c_1_65_148","c_1_65_148","Beta cells"
"c_1_65_1505","c_1_65_1505","Acinar.1"
"c_1_65_1531","c_1_65_1531","Acinar.1"
"c_1_65_1580","c_1_65_1580","Acinar.1"
"c_1_65_1586","c_1_65_1586","Acinar.1"
"c_1_65_161","c_1_65_161","Acinar.1"
"c_1_65_1618","c_1_65_1618","Ductal"
"c_1_65_1635","c_1_65_1635","Acinar.1"
"c_1_65_1643","c_1_65_1643","Acinar.1"
"c_1_65_1663","c_1_65_1663","Acinar.1"
"c_1_65_1730","c_1_65_1730","Acinar.1"
"c_1_65_1734","c_1_65_1734","Ductal"
"c_1_65_1755","c_1_65_1755","Ductal"
"c_1_65_1768","c_1_65_1768","Acinar.2"
"c_1_65_1772","c_1_65_1772","Acinar.1"
"c_1_65_1784","c_1_65_1784","Acinar.2"
"c_1_65_1790","c_1_65_1790","Acinar.1"
"c_1_65_1791","c_1_65_1791","Acinar.1"
"c_1_65_180","c_1_65_180","Quiescent stellate"
"c_1_65_1800","c_1_65_1800","Acinar.1"
"c_1_65_1834","c_1_65_1834","Acinar.1"
"c_1_65_188","c_1_65_188","Ductal"
"c_1_65_1882","c_1_65_1882","Acinar.1"
"c_1_65_1890","c_1_65_1890","Acinar.1"
"c_1_65_1896","c_1_65_1896","Ductal"
"c_1_65_1906","c_1_65_1906","Acinar.1"
"c_1_65_1911","c_1_65_1911","Acinar.1"
