,cell_types
16-2396,B-cell
16-823,plasmablast
16-571,epithelial
21-1769,fibroblast
21-1742,fibroblast
21-1551,T CD4 naive
1-1913,epithelial
21-2659,B-cell
21-912,pDC
26-2852,fibroblast
6-3494,macrophage
6-1568,epithelial
6-4421,B-cell
11-1513,T CD8 naive
11-979,fibroblast
16-3711,B-cell
16-2960,endothelial
26-2677,plasmablast
1-2242,endothelial
1-38,plasmablast
11-1852,endothelial
26-2934,tumor
6-300,endothelial
6-4094,B-cell
1-1237,epithelial
6-5161,epithelial
6-2949,T CD4 naive
6-4512,B-cell
16-2520,B-cell
26-2643,plasmablast
26-2306,plasmablast
1-1017,endothelial
6-367,B-cell
21-1363,plasmablast
26-1244,tumor
26-3012,tumor
26-303,plasmablast
1-2151,B-cell
6-2322,pDC
6-840,fibroblast
6-4228,B-cell
11-3250,B-cell
11-242,B-cell
1-151,T CD4 naive
6-3864,epithelial
6-4885,fibroblast
6-1472,B-cell
16-3613,B-cell
21-59,plasmablast
26-2456,fibroblast
1-2226,T CD4 memory
1-581,endothelial
11-1589,endothelial
16-1853,mDC
16-762,plasmablast
16-3053,fibroblast
26-1595,tumor
26-275,plasmablast
6-984,T CD4 naive
11-3692,plasmablast
16-2580,B-cell
16-2206,B-cell
16-3273,fibroblast
26-2958,tumor
6-2671,T CD8 naive
6-444,fibroblast
21-858,endothelial
21-606,mast
6-4662,B-cell
16-2342,B-cell
21-2942,endothelial
21-1127,pDC
1-1597,fibroblast
11-2773,pDC
11-618,B-cell
26-560,tumor
26-344,plasmablast
6-3971,endothelial
6-4781,endothelial
6-1095,B-cell
11-1224,plasmablast
11-3155,B-cell
16-682,mast
11-533,T CD4 naive
21-485,endothelial
1-1675,fibroblast
6-3894,epithelial
11-3922,B-cell
16-3360,fibroblast
21-1698,pDC
21-2427,plasmablast
26-607,tumor
6-4374,T CD4 naive
16-2484,B-cell
16-2104,B-cell
16-1908,plasmablast
16-1690,fibroblast
1-340,macrophage
21-1094,pDC
21-180,pDC
1-1998,plasmablast
16-2760,B-cell
26-1424,neutrophil
6-1288,B-cell
1-1568,plasmablast
11-3258,B-cell
11-204,T CD4 naive
16-1504,endothelial
16-2893,fibroblast
26-2116,macrophage
6-935,T CD4 naive
11-3915,plasmablast
16-2714,B-cell
16-3813,mDC
21-1425,mDC
26-435,tumor
1-223,fibroblast
11-1647,endothelial
16-121,plasmablast
26-2039,fibroblast
26-2379,plasmablast
6-4602,epithelial
16-2848,B-cell
21-317,T CD4 naive
6-210,B-cell
16-1572,fibroblast
6-4235,B-cell
26-1976,fibroblast
16-1200,fibroblast
21-463,fibroblast
26-3054,tumor
16-3878,B-cell
16-2416,B-cell
21-586,plasmablast
26-129,plasmablast
6-1979,T CD4 naive
16-3705,B-cell
16-1732,pDC
16-3234,fibroblast
16-3062,plasmablast
26-892,tumor
26-213,fibroblast
11-1314,T CD4 naive
16-2243,B-cell
6-360,T CD4 naive
11-3014,B-cell
16-352,epithelial
26-3453,monocyte
26-2984,tumor
1-2136,endothelial
6-3495,macrophage
11-3426,mast
16-2666,B-cell
16-3598,plasmablast
16-1245,fibroblast
26-1310,tumor
6-5265,endothelial
6-2534,fibroblast
16-1513,endothelial
1-1067,endothelial
1-1968,pDC
6-4001,plasmablast
11-2522,fibroblast
21-2167,epithelial
6-60,T CD4 naive
21-2931,fibroblast
26-1679,tumor
1-1440,endothelial
6-5129,epithelial
16-1406,endothelial
16-2913,plasmablast
21-1146,B-cell
21-353,fibroblast
26-2336,fibroblast
11-564,B-cell
1-815,fibroblast
6-131,B-cell
11-2472,mDC
11-3196,B-cell
11-3169,B-cell
6-3380,pDC
11-1024,plasmablast
26-1021,tumor
6-2202,T CD8 naive
11-1750,endothelial
16-3219,endothelial
26-970,tumor
6-1082,T CD4 naive
11-3114,T CD4 naive
16-1828,B-cell
26-1947,fibroblast
1-1520,fibroblast
1-1135,macrophage
6-4892,mDC
6-1555,B-cell
6-987,B-cell
11-2113,fibroblast
16-2465,B-cell
26-1464,neutrophil
26-1390,tumor
1-1712,fibroblast
6-5215,pDC
6-2097,T CD4 naive
21-969,plasmablast
21-8,plasmablast
26-1634,tumor
6-2743,T CD8 naive
6-1398,B-cell
6-1350,T CD4 naive
6-261,B-cell
11-92,neutrophil
16-2319,B-cell
21-2739,plasmablast
21-2223,plasmablast
26-3520,fibroblast
11-794,macrophage
11-3144,B-cell
16-2058,B-cell
16-3300,fibroblast
16-207,mast
6-2466,fibroblast
16-3664,B-cell
16-926,macrophage
26-1233,tumor
1-579,endothelial
6-3717,epithelial
6-2047,endothelial
11-2893,T CD4 naive
21-2725,T CD4 naive
26-119,plasmablast
6-2148,fibroblast
6-1461,B-cell
11-2245,plasmablast
16-1780,T CD8 naive
16-3284,fibroblast
1-1248,epithelial
11-3348,fibroblast
16-2774,mDC
21-2240,fibroblast
26-3100,tumor
1-66,plasmablast
6-4098,B-cell
11-988,fibroblast
16-964,pDC
21-1711,B-cell
1-1926,endothelial
6-2924,plasmablast
11-1869,endothelial
26-3500,plasmablast
16-2690,B-cell
16-2366,B-cell
16-3141,endothelial
21-1607,mDC
1-1550,T CD8 naive
6-4068,B-cell
21-1392,plasmablast
21-1060,pDC
26-3060,tumor
6-3798,mast
11-3034,B-cell
21-293,fibroblast
26-418,tumor
1-906,neutrophil
1-246,fibroblast
1-113,pDC
21-45,plasmablast
26-2510,plasmablast
6-4471,B-cell
6-808,B-cell
11-3663,endothelial
16-2013,fibroblast
16-736,endothelial
21-1110,B-cell
6-868,T CD4 naive
6-4185,T CD4 naive
1-265,fibroblast
1-179,Treg
21-2017,fibroblast
6-1635,B-cell
6-484,fibroblast
6-4171,T CD4 naive
16-3685,B-cell
16-1626,fibroblast
21-1210,endothelial
21-1026,B-cell
26-1288,neutrophil
26-328,fibroblast
21-2379,monocyte
1-823,B-cell
11-3202,T CD4 naive
11-68,plasmablast
16-2578,B-cell
1-1386,fibroblast
6-655,B-cell
1-634,endothelial
6-3968,mDC
6-1712,epithelial
16-3773,B-cell
21-2819,fibroblast
11-2818,plasmablast
21-2556,endothelial
1-1296,neutrophil
6-1187,B-cell
26-2654,fibroblast
26-3507,plasmablast
26-1436,neutrophil
1-792,T CD8 naive
1-597,endothelial
6-3992,pDC
6-1949,B-cell
11-1095,mDC
16-3593,B-cell
6-2987,plasmablast
6-2825,T CD4 memory
6-622,T CD4 naive
6-306,B-cell
11-665,plasmablast
1-1179,tumor
11-3100,B-cell
11-35,plasmablast
6-2387,endothelial
16-2854,B-cell
16-2916,epithelial
26-465,tumor
6-2506,plasmablast
6-530,B-cell
26-3072,tumor
6-3124,macrophage
6-4455,B-cell
6-4118,B-cell
16-877,T CD8 naive
16-151,plasmablast
21-2357,pDC
1-368,macrophage
6-3699,epithelial
6-3046,plasmablast
11-1210,mDC
16-1495,endothelial
1-2131,epithelial
11-722,macrophage
16-2614,T CD4 naive
21-1765,fibroblast
21-2537,fibroblast
21-2361,plasmablast
21-153,fibroblast
26-1190,tumor
11-1682,mDC
11-1273,mast
11-3024,NK
16-2541,B-cell
16-3409,fibroblast
21-192,plasmablast
16-3574,T CD8 naive
21-1301,fibroblast
6-3772,mast
11-1953,endothelial
16-716,endothelial
26-284,plasmablast
6-4109,B-cell
16-2099,B-cell
21-1193,fibroblast
26-1814,fibroblast
6-1779,epithelial
16-3190,endothelial
21-813,fibroblast
26-2734,pDC
26-2135,NK
26-3266,tumor
26-1669,tumor
1-1358,epithelial
6-1496,B-cell
16-646,pDC
26-1397,neutrophil
6-4786,plasmablast
16-1194,T CD8 naive
21-979,fibroblast
21-953,plasmablast
6-2185,B-cell
6-1336,T CD4 naive
6-1294,T CD4 naive
6-4277,B-cell
11-3556,fibroblast
11-205,T CD4 naive
16-976,fibroblast
6-2221,fibroblast
16-1722,fibroblast
26-2256,macrophage
26-1614,tumor
26-1483,tumor
16-2194,macrophage
16-462,pDC
26-3067,tumor
26-935,tumor
6-4803,plasmablast
6-1447,B-cell
11-3215,B-cell
21-1147,B-cell
1-1753,fibroblast
11-3170,B-cell
21-1111,Treg
26-2577,plasmablast
6-2092,T CD8 naive
26-1960,fibroblast
6-4847,endothelial
11-2114,mDC
21-2160,neutrophil
6-789,B-cell
16-1781,fibroblast
1-948,neutrophil
16-2757,B-cell
26-3036,tumor
6-3008,plasmablast
6-4574,B-cell
16-2732,B-cell
21-2784,T CD4 naive
21-645,pDC
26-2599,plasmablast
26-2856,fibroblast
26-69,plasmablast
1-1323,epithelial
11-2910,B-cell
11-3156,T CD4 naive
11-122,mDC
6-4907,plasmablast
6-4559,B-cell
6-972,endothelial
26-221,plasmablast
1-1621,endothelial
6-1382,B-cell
11-3727,endothelial
16-1534,fibroblast
6-3854,T CD4 naive
16-2221,B-cell
21-1738,plasmablast
21-2574,plasmablast
11-349,B-cell
16-2419,B-cell
26-2352,plasmablast
26-3026,tumor
21-439,neutrophil
6-3823,NK
6-2874,T CD8 memory
6-588,B-cell
16-1845,fibroblast
26-1458,tumor
1-1952,endothelial
6-4085,B-cell
11-2162,fibroblast
6-3099,plasmablast
6-922,fibroblast
21-1699,fibroblast
21-9,plasmablast
26-1893,fibroblast
6-110,T CD8 naive
11-1623,mast
26-3565,plasmablast
26-2418,plasmablast
1-1430,endothelial
6-4115,fibroblast
11-3186,B-cell
1-1254,epithelial
6-1150,B-cell
6-4074,B-cell
26-3015,tumor
11-3887,fibroblast
11-3467,neutrophil
26-1421,tumor
6-403,B-cell
16-2515,T CD4 naive
16-1995,mDC
1-338,epithelial
6-2641,fibroblast
16-2669,T CD4 naive
21-1568,fibroblast
26-255,plasmablast
26-24,plasmablast
16-3884,B-cell
16-2602,B-cell
21-1611,T CD4 naive
16-2370,neutrophil
26-1716,tumor
26-113,plasmablast
6-4911,pDC
6-873,T CD4 naive
6-4199,B-cell
16-2844,T CD8 naive
21-659,monocyte
6-3562,endothelial
11-604,macrophage
11-188,T CD4 naive
26-2178,macrophage
6-5072,endothelial
6-4777,fibroblast
21-2892,fibroblast
11-3424,T CD4 naive
16-905,fibroblast
21-2538,fibroblast
21-85,plasmablast
26-2873,tumor
6-351,B-cell
16-3178,endothelial
6-2758,T CD4 naive
11-762,B-cell
11-3199,T CD4 naive
16-1968,B-cell
21-1138,B-cell
6-2795,plasmablast
6-1698,B-cell
16-1888,plasmablast
6-1485,T CD4 naive
11-3452,mast
16-1421,fibroblast
16-535,epithelial
21-1853,epithelial
21-2768,B-cell
21-951,fibroblast
21-54,plasmablast
26-2263,macrophage
21-1946,tumor
26-3403,fibroblast
11-3907,fibroblast
11-923,pDC
11-3305,plasmablast
16-2310,T CD4 naive
21-2731,T CD4 naive
21-1115,plasmablast
11-1002,NK
16-3870,endothelial
16-3384,mast
26-166,plasmablast
6-3262,macrophage
6-1409,T CD4 naive
11-848,plasmablast
21-2382,pDC
26-179,plasmablast
21-2691,T CD8 naive
1-2283,endothelial
21-1020,B-cell
26-1650,tumor
6-4010,endothelial
6-2012,pDC
11-3295,plasmablast
26-3553,plasmablast
26-1188,tumor
6-4472,B-cell
26-361,neutrophil
6-1219,B-cell
6-4121,T CD4 naive
16-2297,B-cell
16-3160,T CD4 naive
26-2533,plasmablast
6-1356,B-cell
6-1185,T CD4 naive
6-4220,B-cell
6-299,plasmablast
6-4135,B-cell
11-3938,fibroblast
26-1945,monocyte
1-1935,mDC
6-1881,epithelial
16-2024,fibroblast
21-32,plasmablast
26-1123,tumor
6-3757,B-cell
6-643,B-cell
6-4055,B-cell
16-652,endothelial
21-1249,endothelial
1-680,macrophage
6-721,T CD4 naive
11-1325,plasmablast
11-2039,macrophage
6-2950,plasmablast
6-1960,epithelial
11-1600,mDC
11-227,B-cell
16-2222,B-cell
21-1164,T CD4 naive
26-2756,plasmablast
26-222,plasmablast
6-3836,NK
6-2110,fibroblast
11-2138,mast
26-3505,fibroblast
6-1785,epithelial
16-3474,fibroblast
16-826,endothelial
26-1504,tumor
6-1922,epithelial
16-2112,T CD8 naive
16-253,macrophage
21-1360,T CD8 naive
6-4093,B-cell
16-2466,epithelial
16-1202,fibroblast
21-1516,pDC
26-2203,monocyte
6-1457,B-cell
11-1552,macrophage
16-3025,endothelial
16-364,plasmablast
21-2153,endothelial
21-2643,plasmablast
26-2503,plasmablast
1-1969,fibroblast
6-3689,mDC
6-1642,B-cell
6-4482,B-cell
21-763,fibroblast
26-1608,tumor
11-2398,B-cell
11-464,B-cell
16-3656,pDC
16-14,plasmablast
21-2264,monocyte
6-3030,plasmablast
6-2430,plasmablast
6-361,B-cell
21-603,fibroblast
21-106,T CD8 naive
26-3219,tumor
6-1032,B-cell
1-1523,endothelial
1-830,endothelial
16-1546,fibroblast
16-1488,fibroblast
26-1727,tumor
26-1465,tumor
6-3117,T CD4 naive
21-1739,plasmablast
26-1103,tumor
6-1569,T CD4 naive
11-2529,fibroblast
26-2716,plasmablast
6-851,T CD4 naive
6-4233,B-cell
11-1823,fibroblast
16-992,fibroblast
1-2293,endothelial
6-4933,T CD8 naive
11-3733,endothelial
11-3682,mast
16-2715,mDC
6-3715,endothelial
6-5032,endothelial
6-4210,B-cell
16-3837,epithelial
26-2302,neutrophil
1-1230,neutrophil
1-2037,fibroblast
6-1509,B-cell
16-2606,B-cell
16-3543,fibroblast
11-3006,fibroblast
16-3599,pDC
16-3164,endothelial
6-5172,plasmablast
6-2192,plasmablast
6-770,B-cell
11-709,plasmablast
16-712,endothelial
6-5195,fibroblast
11-3878,fibroblast
16-3579,plasmablast
26-1022,tumor
26-2876,tumor
1-274,NK
16-120,epithelial
26-2224,pDC
6-394,B-cell
6-4125,B-cell
11-3786,endothelial
16-1374,fibroblast
21-144,mast
1-1947,mast
6-3659,pDC
6-4730,fibroblast
11-3072,fibroblast
16-491,epithelial
21-1471,mDC
21-447,neutrophil
21-1428,B-cell
21-2383,plasmablast
6-64,B-cell
16-2040,fibroblast
16-1996,mDC
21-2610,T CD4 naive
6-2535,mast
6-151,B-cell
11-1795,mDC
16-2567,B-cell
26-2414,monocyte
26-2787,plasmablast
6-2929,epithelial
16-2752,mDC
16-793,endothelial
6-2642,T CD4 memory
16-2797,T CD4 naive
21-655,mDC
26-1684,tumor
1-391,neutrophil
6-912,B-cell
21-1717,plasmablast
1-1645,fibroblast
1-2278,endothelial
6-3605,pDC
6-2282,T CD4 memory
11-2579,plasmablast
16-843,fibroblast
6-1436,B-cell
11-3181,epithelial
16-2257,B-cell
21-2844,T CD4 memory
21-698,mDC
26-2380,mDC
1-1798,endothelial
16-3368,fibroblast
16-101,epithelial
21-842,B-cell
26-1917,macrophage
1-1467,endothelial
1-164,T CD8 naive
6-3952,macrophage
11-436,T CD4 naive
16-2531,B-cell
16-440,B-cell
21-33,plasmablast
26-2884,tumor
26-2842,fibroblast
1-1770,fibroblast
1-2281,endothelial
16-620,plasmablast
21-2388,fibroblast
26-195,endothelial
6-4033,pDC
6-1232,B-cell
16-2094,fibroblast
21-2058,neutrophil
26-1540,tumor
1-723,NK
21-1759,mast
21-954,fibroblast
26-3554,plasmablast
26-1970,macrophage
6-3425,pDC
6-1124,B-cell
11-3827,fibroblast
16-1448,fibroblast
26-2119,fibroblast
6-992,B-cell
6-660,B-cell
6-4132,B-cell
6-4064,B-cell
11-3804,endothelial
11-2980,neutrophil
16-2662,fibroblast
16-3331,pDC
21-1408,B-cell
21-1333,fibroblast
6-3252,endothelial
6-455,B-cell
6-322,B-cell
11-3231,epithelial
21-1997,endothelial
21-2291,fibroblast
11-2168,T CD4 naive
16-3120,endothelial
6-576,B-cell
11-1217,T CD4 naive
21-154,plasmablast
1-1823,endothelial
6-3484,pDC
6-2744,plasmablast
6-1737,B-cell
6-4272,B-cell
11-3326,plasmablast
16-2861,B-cell
26-2723,plasmablast
1-4,pDC
6-4790,mast
11-331,B-cell
26-289,plasmablast
6-836,B-cell
6-92,B-cell
16-977,fibroblast
21-3007,neutrophil
26-2635,plasmablast
26-2486,plasmablast
26-236,plasmablast
11-2108,mDC
16-2501,endothelial
16-643,plasmablast
1-1896,macrophage
6-4435,B-cell
6-884,mDC
6-737,B-cell
21-2133,epithelial
26-326,plasmablast
11-536,B-cell
11-82,plasmablast
21-1912,tumor
6-4570,B-cell
11-1419,endothelial
16-2289,neutrophil
16-2183,fibroblast
6-3547,plasmablast
16-2710,mDC
16-2324,B-cell
16-933,mDC
21-891,mast
6-2111,plasmablast
6-503,T CD8 naive
6-2351,T CD4 naive
6-4698,fibroblast
6-355,B-cell
21-2410,fibroblast
26-3259,tumor
26-389,fibroblast
6-1628,T CD4 naive
11-1053,fibroblast
11-821,mDC
21-1177,B-cell
21-947,plasmablast
1-2130,neutrophil
1-355,B-cell
16-3730,B-cell
26-3542,plasmablast
6-1918,epithelial
26-3496,pDC
11-2916,T CD4 naive
1-2227,fibroblast
6-4540,B-cell
6-233,B-cell
16-3033,plasmablast
21-1119,plasmablast
26-1732,tumor
11-3038,endothelial
21-578,T CD4 naive
26-1584,tumor
11-2724,plasmablast
21-1032,B-cell
21-323,pDC
26-3551,plasmablast
6-3402,mast
6-1536,B-cell
11-585,B-cell
16-2581,B-cell
26-1399,tumor
1-1249,macrophage
11-3694,endothelial
21-1084,pDC
26-2069,monocyte
26-1451,tumor
6-1252,B-cell
1-1859,endothelial
6-3690,plasmablast
6-1817,B-cell
26-160,endothelial
6-4056,endothelial
11-916,plasmablast
21-1722,pDC
21-2215,plasmablast
26-1277,tumor
1-2171,epithelial
6-4005,plasmablast
6-4921,epithelial
6-4507,B-cell
11-3621,fibroblast
11-1529,fibroblast
26-2426,pDC
26-2183,fibroblast
6-3773,NK
6-3194,endothelial
11-467,epithelial
16-2631,fibroblast
16-2061,mDC
16-2032,fibroblast
21-2165,epithelial
21-446,tumor
26-231,neutrophil
6-4295,B-cell
11-2084,mDC
21-2021,T CD4 naive
21-1444,B-cell
1-283,mDC
6-4105,B-cell
11-1185,mDC
11-3255,plasmablast
6-2665,pDC
6-931,B-cell
6-623,B-cell
1-2306,fibroblast
1-709,neutrophil
1-654,macrophage
26-2262,neutrophil
26-1630,tumor
1-5,macrophage
6-1660,T CD4 naive
6-1422,B-cell
11-1025,plasmablast
11-2252,plasmablast
6-3711,pDC
6-162,B-cell
11-964,fibroblast
11-3129,B-cell
21-1612,fibroblast
21-256,plasmablast
1-2027,endothelial
6-384,T CD4 naive
11-1393,T CD4 memory
11-1639,T CD8 naive
16-948,fibroblast
21-2808,fibroblast
21-196,plasmablast
6-4958,fibroblast
6-4425,B-cell
6-281,B-cell
26-2707,pDC
21-2890,fibroblast
6-2460,epithelial
6-997,B-cell
21-1329,fibroblast
6-2266,plasmablast
6-1051,B-cell
11-754,pDC
16-3202,fibroblast
6-4026,pDC
26-2551,fibroblast
26-2048,monocyte
1-1811,epithelial
11-2450,plasmablast
16-1931,fibroblast
6-864,B-cell
11-1165,mast
16-2224,endothelial
16-467,epithelial
11-649,plasmablast
16-681,B-cell
26-940,tumor
26-2881,tumor
1-1661,mast
6-3930,endothelial
6-3583,endothelial
6-3298,plasmablast
6-4440,B-cell
11-2194,plasmablast
16-3562,fibroblast
21-1187,fibroblast
11-607,B-cell
16-2776,fibroblast
16-987,fibroblast
1-2310,endothelial
1-2006,endothelial
6-4607,B-cell
16-1484,fibroblast
16-3173,fibroblast
26-370,macrophage
1-686,neutrophil
11-2156,fibroblast
16-2311,neutrophil
16-3021,plasmablast
16-15,pDC
21-364,monocyte
26-2760,mast
1-2235,endothelial
21-542,fibroblast
26-3146,tumor
6-3244,plasmablast
6-330,B-cell
11-1269,T CD4 naive
16-2280,neutrophil
16-3647,mDC
21-2287,B-cell
1-1233,plasmablast
6-1473,T CD4 naive
6-4412,B-cell
6-1096,B-cell
16-2374,B-cell
16-115,tumor
21-975,mDC
26-1231,tumor
11-132,plasmablast
16-536,epithelial
21-1851,endothelial
21-1412,NK
6-2186,plasmablast
21-310,mDC
21-35,pDC
26-137,plasmablast
6-3654,B-cell
26-2314,B-cell
6-227,B-cell
6-41,plasmablast
16-753,endothelial
21-2966,neutrophil
21-663,pDC
21-618,fibroblast
21-1244,plasmablast
11-2774,B-cell
16-2590,B-cell
26-1362,tumor
6-4743,pDC
16-79,epithelial
16-69,neutrophil
21-1816,fibroblast
6-3344,B-cell
6-1579,mDC
6-1515,B-cell
6-4446,B-cell
6-4298,B-cell
11-879,fibroblast
11-3214,B-cell
16-2843,fibroblast
6-452,B-cell
11-3023,endothelial
16-1354,fibroblast
21-158,plasmablast
26-2684,plasmablast
26-2165,macrophage
6-3162,plasmablast
6-1908,epithelial
1-1799,epithelial
1-1987,endothelial
6-589,B-cell
11-2603,pDC
16-594,plasmablast
6-2001,epithelial
16-2185,endothelial
16-3226,T CD4 naive
11-2298,plasmablast
26-1699,tumor
6-3056,B-cell
6-1428,B-cell
26-2345,plasmablast
1-1831,epithelial
26-918,tumor
1-342,NK
6-742,B-cell
6-669,T CD4 naive
16-2467,neutrophil
16-661,B-cell
6-517,B-cell
6-163,B-cell
11-2515,fibroblast
11-728,T CD4 naive
6-2988,neutrophil
11-3871,fibroblast
21-2666,fibroblast
21-898,mast
21-584,endothelial
1-1245,plasmablast
6-3833,T CD4 naive
6-1611,B-cell
11-1225,T CD8 naive
16-3830,plasmablast
21-1879,fibroblast
26-3235,fibroblast
26-2835,fibroblast
1-850,epithelial
11-1059,plasmablast
6-388,B-cell
21-2168,epithelial
21-1639,fibroblast
21-100,fibroblast
26-1254,tumor
26-2898,tumor
26-281,plasmablast
1-109,endothelial
6-4465,epithelial
11-2675,B-cell
16-648,epithelial
26-2865,fibroblast
26-76,plasmablast
1-2116,macrophage
16-2332,mast
6-2915,endothelial
6-2101,epithelial
6-4101,B-cell
21-2642,endothelial
6-1142,B-cell
16-1709,fibroblast
6-4484,B-cell
21-1023,B-cell
6-5126,endothelial
6-4626,B-cell
6-897,B-cell
6-4244,B-cell
16-3818,pDC
26-1953,fibroblast
26-1459,epithelial
26-1282,tumor
1-2217,epithelial
6-5199,fibroblast
6-956,B-cell
16-3712,neutrophil
16-3478,fibroblast
26-2122,fibroblast
26-1213,tumor
1-1850,endothelial
6-5162,fibroblast
26-2793,plasmablast
1-1612,endothelial
1-276,macrophage
1-2018,endothelial
16-3534,fibroblast
26-2030,fibroblast
6-4870,fibroblast
11-942,T CD4 naive
1-204,monocyte
1-1970,mast
6-3501,epithelial
11-3646,plasmablast
21-2129,epithelial
26-2439,T CD8 naive
26-3490,plasmablast
26-200,endothelial
11-774,B-cell
16-2493,B-cell
16-938,plasmablast
26-2886,tumor
6-5239,fibroblast
6-307,B-cell
11-2144,endothelial
26-3202,fibroblast
26-1148,tumor
11-625,B-cell
21-42,pDC
6-1844,T CD8 naive
26-2755,plasmablast
26-1846,epithelial
1-2137,neutrophil
6-2048,B-cell
21-1302,fibroblast
6-4589,B-cell
11-3824,endothelial
11-1148,mDC
11-841,plasmablast
6-5270,mast
6-3671,endothelial
21-2408,fibroblast
26-2060,fibroblast
26-1417,fibroblast
6-3920,endothelial
11-243,endothelial
16-895,fibroblast
21-1605,pDC
26-3213,fibroblast
26-3102,tumor
26-2855,fibroblast
6-4317,B-cell
11-3680,endothelial
16-2425,B-cell
16-2163,fibroblast
21-1762,pDC
21-2270,plasmablast
26-2702,endothelial
26-3462,fibroblast
11-386,fibroblast
16-1910,endothelial
21-10,macrophage
26-1191,tumor
6-3329,fibroblast
6-4364,B-cell
26-1179,tumor
6-4547,B-cell
11-1642,mast
6-3215,plasmablast
26-1713,fibroblast
6-2346,endothelial
6-1944,B-cell
6-4506,B-cell
6-4383,B-cell
16-3195,plasmablast
16-393,epithelial
21-2910,fibroblast
26-2513,pDC
6-357,B-cell
16-428,epithelial
1-1156,endothelial
6-4520,B-cell
6-4211,T CD4 naive
16-2603,neutrophil
21-3010,endothelial
26-522,tumor
1-1808,neutrophil
1-974,mast
6-439,B-cell
6-143,T CD4 naive
11-3368,T CD4 naive
21-1856,mast
21-622,fibroblast
6-3774,T CD4 naive
6-4604,B-cell
11-315,fibroblast
21-1197,macrophage
6-2497,endothelial
16-705,epithelial
21-67,mast
26-2600,plasmablast
26-1904,fibroblast
11-3302,plasmablast
11-275,endothelial
16-2383,B-cell
16-479,epithelial
1-1253,endothelial
6-3239,plasmablast
6-1871,B-cell
11-1038,endothelial
11-3245,fibroblast
11-557,plasmablast
21-130,plasmablast
26-2642,plasmablast
16-2786,endothelial
16-1097,fibroblast
21-1819,fibroblast
16-16,fibroblast
26-2315,plasmablast
26-234,plasmablast
1-1532,fibroblast
6-2159,T CD4 naive
11-2989,fibroblast
26-2875,fibroblast
11-2765,fibroblast
16-1870,endothelial
26-2766,neutrophil
26-2211,neutrophil
6-4578,B-cell
6-51,fibroblast
26-3236,fibroblast
6-228,B-cell
16-1319,fibroblast
21-1415,pDC
21-2232,macrophage
1-415,endothelial
6-79,B-cell
26-3552,endothelial
26-3425,macrophage
26-351,fibroblast
26-2016,fibroblast
1-1276,endothelial
6-656,B-cell
11-2600,macrophage
11-3337,plasmablast
16-880,plasmablast
26-1328,fibroblast
6-2884,fibroblast
6-4281,B-cell
6-573,B-cell
21-982,pDC
21-533,B-cell
26-1069,tumor
1-386,endothelial
6-5137,endothelial
6-3108,macrophage
6-2594,endothelial
6-4568,B-cell
6-4303,B-cell
11-1306,endothelial
21-186,mast
26-3484,fibroblast
26-1363,fibroblast
26-1292,fibroblast
26-532,tumor
6-4558,epithelial
11-1331,mast
6-2936,mDC
6-1159,T CD4 naive
11-3409,endothelial
21-2735,B-cell
21-1162,fibroblast
1-933,endothelial
26-2093,fibroblast
1-877,fibroblast
6-2718,macrophage
21-1729,T CD8 naive
26-476,tumor
1-1883,endothelial
6-3831,B-cell
6-2379,fibroblast
6-638,T CD8 naive
16-2397,plasmablast
21-1577,mDC
6-3958,B-cell
6-1298,B-cell
6-277,B-cell
6-2672,T CD8 naive
16-1958,fibroblast
21-292,fibroblast
16-2325,fibroblast
16-2184,endothelial
26-1004,tumor
1-317,macrophage
6-1098,B-cell
16-2646,mDC
21-1542,mast
26-2427,plasmablast
26-3178,monocyte
1-1119,T CD4 naive
1-231,endothelial
26-161,plasmablast
6-4526,epithelial
11-2246,mast
16-2107,fibroblast
21-2367,fibroblast
26-1781,fibroblast
1-1988,endothelial
6-3708,T CD4 naive
6-1996,B-cell
11-2557,macrophage
16-2839,fibroblast
21-1805,T CD8 naive
6-2802,fibroblast
6-966,B-cell
6-519,B-cell
11-2924,plasmablast
6-3453,T CD4 naive
6-3273,T CD4 naive
16-2458,fibroblast
16-587,epithelial
1-1220,endothelial
6-2238,plasmablast
21-2134,epithelial
21-667,mDC
1-976,NK
21-1055,endothelial
6-3318,plasmablast
6-2989,fibroblast
16-1241,fibroblast
21-1303,plasmablast
6-4368,B-cell
11-1444,endothelial
16-1904,endothelial
16-3461,fibroblast
16-1385,fibroblast
16-889,fibroblast
16-718,NK
21-1995,fibroblast
1-1353,macrophage
6-2122,epithelial
6-1255,B-cell
6-19,plasmablast
11-2955,fibroblast
16-1791,fibroblast
26-99,plasmablast
11-1784,fibroblast
21-2783,B-cell
21-428,fibroblast
1-463,endothelial
6-3779,macrophage
6-3356,endothelial
11-3131,fibroblast
16-3298,fibroblast
6-3612,epithelial
6-4439,B-cell
6-714,B-cell
16-2258,fibroblast
21-1219,B-cell
21-2593,plasmablast
21-175,plasmablast
21-113,plasmablast
21-20,monocyte
26-2381,fibroblast
26-1170,tumor
26-404,fibroblast
6-1361,B-cell
6-140,fibroblast
26-138,plasmablast
6-3409,endothelial
6-4182,B-cell
11-3533,endothelial
11-969,mast
16-2702,fibroblast
21-607,pDC
26-2264,mDC
26-3332,fibroblast
26-219,plasmablast
6-2335,plasmablast
6-195,T CD4 naive
11-3512,mast
26-2019,neutrophil
6-850,B-cell
