,cell_types
11-1959,tumor
11-1934,tumor
11-1172,tumor
26-746,endothelial
6-5110,T CD4 naive
6-1456,fibroblast
16-1342,tumor
16-35,plasmablast
26-754,endothelial
1-2067,mDC
6-1689,endothelial
1-1642,endothelial
1-773,plasmablast
1-2181,pDC
11-363,tumor
16-1386,tumor
21-15,endothelial
26-667,fibroblast
6-3039,epithelial
6-4149,tumor
21-1222,fibroblast
11-2049,tumor
11-1994,tumor
16-3868,fibroblast
1-1285,T CD4 memory
1-2057,T CD4 naive
6-5138,plasmablast
11-1366,tumor
16-937,fibroblast
1-2360,T CD4 naive
1-2106,B-cell
1-117,epithelial
6-4474,fibroblast
1-1301,T CD4 naive
1-735,plasmablast
6-2742,pDC
6-4671,plasmablast
11-2580,tumor
16-1678,tumor
11-2124,tumor
21-2095,plasmablast
21-2930,fibroblast
21-2331,endothelial
1-2257,NK
6-2958,tumor
6-4886,macrophage
11-221,neutrophil
16-3885,endothelial
21-2580,pDC
21-2356,endothelial
1-2040,plasmablast
21-1372,macrophage
6-1169,tumor
11-2605,tumor
11-2093,tumor
16-3524,tumor
21-878,pDC
1-1433,epithelial
1-638,epithelial
1-2051,B-cell
6-4977,T CD8 naive
6-2478,T CD8 naive
16-1821,tumor
6-4969,plasmablast
6-1055,tumor
1-1081,plasmablast
6-4989,T CD4 naive
6-1109,tumor
26-2945,B-cell
16-559,pDC
21-2529,plasmablast
21-38,endothelial
26-444,tumor
16-3821,tumor
26-2010,pDC
26-819,fibroblast
6-4657,plasmablast
6-531,tumor
11-2475,tumor
21-1876,endothelial
11-3096,tumor
16-2487,tumor
16-3200,plasmablast
21-1494,fibroblast
21-2478,endothelial
1-552,pDC
6-3469,macrophage
6-4947,T CD4 naive
16-3890,plasmablast
6-2572,T CD4 naive
11-2230,tumor
1-1334,T CD8 naive
6-496,tumor
11-2526,tumor
16-1935,tumor
21-1947,endothelial
1-1605,endothelial
6-5084,macrophage
11-1229,tumor
11-1111,tumor
16-669,pDC
1-1524,endothelial
1-713,T CD4 naive
1-268,plasmablast
6-4962,T CD4 naive
16-3804,tumor
21-2069,plasmablast
1-1260,T CD8 naive
1-1352,fibroblast
6-2183,endothelial
11-1246,tumor
1-1187,T CD4 naive
16-3641,tumor
16-723,fibroblast
1-1789,fibroblast
6-5000,T CD8 naive
6-652,tumor
21-2277,fibroblast
6-441,tumor
11-1976,tumor
11-3091,tumor
26-630,mDC
26-484,tumor
1-1023,T CD4 memory
6-4225,tumor
26-803,mDC
6-3647,B-cell
6-5006,pDC
16-3285,fibroblast
1-426,mDC
6-3325,endothelial
11-2356,tumor
11-660,tumor
16-124,plasmablast
26-31,tumor
1-1666,endothelial
6-4825,T CD4 naive
6-4290,tumor
16-2123,tumor
16-3312,mast
21-2359,endothelial
1-1052,Treg
1-2054,T CD4 naive
6-1089,tumor
26-3582,endothelial
26-2142,pDC
16-1741,tumor
16-3486,tumor
21-1674,endothelial
1-1577,fibroblast
1-1361,endothelial
11-245,epithelial
6-5116,B-cell
6-4836,mast
6-597,tumor
6-282,tumor
16-900,fibroblast
1-884,plasmablast
1-577,mast
6-4267,tumor
11-499,tumor
16-1227,fibroblast
1-608,epithelial
16-2534,tumor
16-3463,tumor
6-5090,B-cell
6-1467,T CD4 memory
6-169,epithelial
26-908,macrophage
26-533,fibroblast
6-4278,tumor
11-1669,macrophage
16-1547,tumor
6-5039,plasmablast
6-2813,macrophage
11-3704,tumor
11-905,tumor
21-2323,fibroblast
6-3436,B-cell
16-511,plasmablast
21-2617,neutrophil
6-4692,fibroblast
6-790,tumor
11-1616,macrophage
11-116,plasmablast
1-2365,plasmablast
16-1801,tumor
1-1749,plasmablast
11-3756,tumor
26-377,tumor
6-3742,fibroblast
6-4909,macrophage
6-512,tumor
26-2033,pDC
